,SLC6A4,REN,ABCC2,HTR1B,PTGS1,HTR2C,CYP3A7,HTR1A,DRD4,SLC6A3,CYP2C19,ABCB1,ADRA1B,CYP2A6,CHRM1,CHRM3,DRD2,CHRM5,DRD5,SLCO2B1,CYP2C9,HTR2B,HTR6,D2R,UGT1A1,SLC6A2,CYP3A4,ABCG2,CHRM2,HRH2,SLCO1B1,ALB,CYP2C8,OPRM1,HTR2A,HRH1,ADRA1D,OPRK1,PTGS2,ADRA2B,ADRA1A,ORM1,ABCB11,HTR7,CYP3A5,CYP2E1,DRD3,CYP2D6,ABCC1,CYP1A1,ADRA2C,DRD1,CHRM4,ADRA2A,CYP2B6,SLC22A8,CYP1A2
phen_sig_tp_noFP_Sig_pancreatitis,-0.039445146727160714,0.4876348031613289,0.0484219753095952,-0.1151394450976575,0.0,0.0,-0.2408126676473036,1.008506858156727,0.0,0.0,0.0,-0.07479605308494618,0.0,-0.390051769471707,0.0,-0.560474687438584,0.2532288542982159,0.0,0.0,0.0,-0.5213961332556345,-0.745552723486828,0.0,-1.0826031769788902,0.0,-0.23337303256721748,0.0,0.5720143931096652,0.0,1.0420896546313396,0.0,1.2075837530308229,0.16117474473740234,1.2448665058560038,0.5303872648667578,-0.9043296207987919,0.0,0.791780426162708,-0.40322152025738994,0.0,0.0,0.6498593145664,-0.0040279068368115345,1.195310243167475,-0.18888877813540314,-0.9659490372256367,0.0,0.12381971307470806,-0.9767476693402048,-0.5600083669169984,0.0,0.855236511825164,0.0,0.0,0.59018553477536,0.27714947502705645,0.0
thrombocytopenia 5,0.0,0.0,0.0,0.0,0.6153984304170352,-0.28521976473735194,0.0,0.0,0.0,0.0,0.20934139309519217,-0.3012426278964371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3006939047282155,0.0800130521508806,-0.24577698708906057,0.0,0.0,0.18241288294138747,0.0,0.0,0.0,0.0,0.0,0.23302157007122445,2.8334578883299013,-0.34954002525124883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5392703486369759,0.0,-0.06474939156514521,0.0,0.0,0.0,-0.06377885030466819,0.0,0.0,0.0,0.0,0.07451881687215854
thrombocytopenia 6,0.0,1.0595122453298753,0.0,0.0,0.0,0.0,-0.6627517620736326,1.7637741359872072,0.0364791025824154,0.0,-0.3728106026020008,-0.2726528586926008,0.34318779049576265,-1.0856995612777016,0.0,0.0,0.0,0.0,0.0,-0.7524562689121851,-0.46047403337624604,-0.054566125248626154,-1.7213089263556849,0.0,0.287577878859225,0.0,-0.6488837074191002,-1.7714770125344612,0.0,0.7628181953818591,0.004198637468923394,0.594035587036972,0.4903852248895915,0.23234137803329738,0.0,0.00971330183955174,0.0,1.9944885980061289,-1.1347000537106575,0.0,0.0,0.0,0.6331383770639097,1.7547927105638188,-0.08430727422337293,-0.5930265667430347,0.0,0.4122459494014112,-0.08498735833861781,-0.3345888014056669,0.0,0.0,0.0,0.0,0.0,0.06621984021624296,0.5961670205650513
macrothrombocytopenia,0.0,1.9812966938998762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211599091007033,0.0,0.0,0.1429148101153411,0.0,0.0,0.0,0.0,0.0,0.0,0.21108223076025576,0.0,0.0,0.0,0.0,0.0,-0.17754623308099765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0878022533080338,0.0,0.0,-0.08915264587419897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0715133534784536
idiopathic thrombocytopenia,-0.3299584046432047,1.483775188497981,0.14106308053121874,0.0,0.0,0.0,0.0,1.8148915797190486,0.0,0.0,-0.15483977965879245,0.02670327725952419,0.0,0.0,0.0,0.0,0.6639595848931944,0.0,0.0,0.1718226017490822,-0.08723839911870869,0.0,0.0,0.0,0.0,0.0,0.04621657448658761,-0.06571597562310359,0.0,-0.07080828094190492,0.29718546845942767,1.4938487718350593,0.3511345745098484,1.2334528811643433,0.3339114448352986,-0.1769956568946057,-0.04607455094755277,1.4900251485396125,-0.14111173497395477,-0.7856863092781695,-0.9817602054446529,0.6558226492482825,-0.001560354925419068,1.5239944699938583,-0.2647666183026347,-0.8370661916879638,0.0,0.0,0.0,0.0,-0.4268672881880597,0.0,0.0,0.0,0.0,-0.37130411023095083,0.0
thrombocytopenia due to platelet alloimmunization,0.0,0.776401856108837,-0.16489714325425953,0.0,0.28587327365725856,0.46579862285380347,-0.256950125888569,0.5096963814946474,-0.1982938155810053,0.0,-0.5554030812451375,0.0,0.0,0.0,1.1467287728625777,0.0,0.0,0.0,0.0,0.5606325332320345,0.0,-0.9845580722356092,0.0,1.0168041379996053,0.0,0.0,-0.24130100311383704,0.0,0.051779696616076634,0.0,0.0,-0.23492780577565855,0.15440277418890389,0.0,0.4971284031294277,0.713034920934272,0.0,0.0,0.0,0.0,0.0,0.37144037702848276,0.0,0.0,0.0,-1.3880465297168088,-0.013033933129902859,0.0,1.0583700977983803,0.0,0.0,0.0,0.0,0.4771561636901192,0.0,-1.3457945265941282,0.18504594642398062
phen_tp_thrombocytopenia,0.0,-0.542027004620186,0.0,0.0,0.5284949583942513,0.0,0.0,-0.0065387902356474625,0.0,0.0,0.20317935427080427,0.18481551867393559,0.0,0.0,0.0,0.0,0.0,0.0,0.24958981266583743,-0.4618302525432797,0.0,0.0,0.0,0.26024721979233223,0.0,0.0,0.0,0.36040698590819864,0.18334851300356278,0.0,-0.8108181215669358,-0.534853015334001,-0.3247080215887734,0.0,0.0,0.0,0.0,-0.27720431304387133,0.12441523503901049,0.0,0.0,0.0,0.0,0.0,-0.11157878629573878,0.0,0.0,0.41403349776253046,0.21773584220400147,0.0,0.0,0.01136331071668614,0.0,0.0,0.0,0.6640157758411985,0.0
phen_sig_tp_noFP_Sig_thrombocytopenia,0.0,0.17290875440297107,-0.24654127725696717,0.0,0.0,0.0,-0.7617944290736383,0.4147495633949596,0.0,0.0,0.06610623515263317,0.0,0.0,0.0,0.0,0.0,0.0,0.11240597860566762,-0.4120626362729719,0.22683444138552858,-0.7665526840337917,0.0,0.0,-0.15526012054334856,0.4759260385842842,0.0,0.4456192873634044,1.2060357954547263,0.0,0.0,-0.9671578073152106,0.8559716684680309,-0.3220223340796253,-0.15664982799195537,0.5722503614764837,0.0,0.0,0.0,0.0,0.0,0.0,1.1722250869097082,0.0,0.1627628538087626,0.0,-1.3294342266574382,0.0,0.0,0.0,0.0,0.0,0.0,0.6863753992684545,0.0,1.2382952039562192,0.0,-0.0564015184814395
myocardial infarction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2600413821694771,-0.4226817825678474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42023253879372846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7066655499527563,0.0,0.0,-0.5324289613133173,-0.7429245463338817,0.5690797585245768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45614712430670473,0.0,-0.799332427152353,0.0,0.0,0.0,0.0,0.0,0.0,0.044344574810555,0.0,-0.6154662043342393
old myocardial infarction,-0.8671627622289015,0.0,0.0,0.0,0.22159092422785254,0.0,-1.3773347358883632,1.6819345532669978,0.0,-0.3042769898764106,-0.3502553582990036,0.0861808749953661,0.0,-0.8754250451940232,0.0,0.0,0.24930982640752222,0.0,-0.14467332232105837,-0.25940944815972805,-0.40166980494746424,0.0,0.0,0.0,0.31225079565786773,-0.616595278529237,0.12986689201494198,0.29803452644586603,0.0,0.0,-0.8890028425500907,0.4018912465500595,0.0,1.9110140808357952,0.0,0.0,0.0,0.06914503201283224,-0.03754362439330411,-0.3193270039319143,0.0,0.614248599098056,0.0,0.8361522947812166,0.019850650089017357,-0.6525509801610927,0.0,0.07832590209650697,0.0,-0.3826112492022394,-0.1939959538868881,0.0,0.0,0.0,0.44265822298320445,-1.3027909398910544,0.0
acute myocardial infarction,-0.2915493051483156,3.881577775354956,0.5241121363088994,0.0,0.16732739177452127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1785427251260892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4117381023123997,0.0,0.33038474110163385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3509037260606664,-0.3663765494135186,0.0,0.0,0.0,0.0,0.0,-0.636853328025099,-0.8231223333094674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phen_sig_tp_noFP_Sig_myocardial infarction,-0.5587661985682727,0.18793611403229502,0.0,-0.11269462457513275,0.0,0.0,-1.442145935830608,0.9926427731722794,0.0,0.0,0.37811351502303375,-0.17679279839600695,0.0,-1.1687102765522899,0.0,-0.13847573075764283,0.13881491367579396,0.0,0.0,0.0,-1.0578160020256044,-0.831236308351682,0.0,-1.317397322912176,-0.3038554604638425,0.0,0.0,0.2706759686431412,0.0,1.4278275083598388,-0.7687673298895967,0.6118247741397056,0.3442602085247292,0.328856923066271,0.18153834040733358,-0.8319777082098819,0.0,1.5385192727116068,-0.7213298374330099,0.0,0.0,0.89614182558711,0.0,1.8647874429545566,0.11200332655447683,-1.2725717610968885,0.0,0.14043016766073935,-0.6222402032430326,-1.0561034551770552,0.0,0.5958471868213705,0.0,0.0,0.7819165407372661,0.0,-0.026527019391276652
