,BCL2,SCN3A,GABRQ,SLC22A6,SCN9A,ABCC2,GABRG2,GABRA6,AKT1,NR1I2,ADRB2,TNF,GABRB2,ADRB1,SCN11A,SCN8A,VDR,CYP2C19,ABCB1,GABRA5,MAPK1,CHRM1,GABRA1,CHRM3,SCN2A,CYP2C9,GABRB1,GABRA2,GABRG3,A,GABRD,GABRP,RELA,MAPK3,GABRA3,CYP3A4,ABCG2,CHRM2,TP53,ALB,CYP2C8,SCN10A,SCN7A,PTGS2,GABRA4,GABRB3,GABRE,AR,ESR1,SCN1A,ABCB11,SCN5A,TSPO,CYP3A5,SLC22A2,CASP3,CYP2D6,SCN4A,GABRG1,CYP2B6,CYP1A2
phen_sig_tp_noFP_Sig_pancreatitis,0.23850066786408872,0.0,0.0,-0.19392258974590582,0.4290506990865009,0.990768031544739,-0.2235597029741552,0.0,0.0,-0.1678174606640461,1.4604473282407546,0.22064649451831864,0.0,0.5183022710190563,0.0,0.0,-0.3327485600425326,-1.0854000401581314,-0.17426342179155252,0.0,0.5243345116654293,0.0,0.0,0.0,0.0,-0.3166535800113514,-0.017529648809046307,0.0,0.0,0.0,0.0,0.0,0.0,1.1452688202105,0.0,-0.287035508522302,0.0,0.4057700676578301,0.42786434002221074,1.4552273463841745,0.3578074388814019,0.36753695710394413,0.0,0.0,-0.19350555404363284,0.0,0.0,-0.31262258113892377,0.0,0.0,0.0,0.0,-1.3619001631520091,-0.0554147120954573,0.0,0.0,0.5236099897544785,0.0,0.0,0.5106838808026242,0.006078194241699486
thrombocytopenia 5,-0.21918579646985706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24358078821025372,0.0,0.0,0.0,0.0,-0.24050186965630518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.514575595289639,-0.7062672032451602,-0.45399117349889534,0.0,0.6874543476048129,0.0,0.0,0.0,0.0,-0.31038263217324386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1300532554174601,0.0,0.0,-0.17225290130417562,0.0
thrombocytopenia 6,0.0,0.0,0.0,0.5184645267927663,0.0,0.05000396354758914,0.0,0.0,0.2529924919473134,-0.01804833487347822,0.0,0.0,0.0,2.3426798752657576,0.0,0.0,-1.1720077450763176,-0.8039243967536154,-1.2831356379445231,0.0,0.07656914678348692,1.6560377854234272,-0.6159013767657054,0.0854603841842677,0.0,-1.3463486455343938,0.0,0.0,0.0,-0.39785087553185655,0.0,0.0,0.0,0.1681232710710334,0.0,-0.2440166592310856,-0.8430974249132932,0.0,-0.06585090666275566,0.11808514450552839,0.451696784427553,-1.6476041314223244,0.0,0.0,-1.2574451541269245,0.0,0.0,-0.6940616068939653,0.23573422562112925,0.0,0.0,0.0,0.0,-0.13304266760790676,0.0,-0.3179686979684756,0.9049236487329744,0.0,0.0,0.3199677860388588,-0.43402106235332144
macrothrombocytopenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007040292152149565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4394902230272533,0.14590567708060218,0.0,0.0,0.0,0.0,0.0,0.1795050891755431,-0.14908585007055478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29948429964028167,0.0,0.0,0.0,0.0,0.0,0.0
idiopathic thrombocytopenia,0.0,-0.0002956844442622077,0.0,0.0,-0.20427459501285317,0.1875685402468047,-0.8227219901170425,0.0,0.0,-0.008106244984293232,0.859727645775597,0.4768619443341229,0.0,0.0,-0.003684953099231707,-0.0009059368215660968,-0.9233080885625626,-0.175903847189713,0.0,0.0,0.06902392349782553,0.0,0.0,0.0,-1.3549480975519602e-05,-0.613867043019934,-0.619552406113671,0.0,0.0,0.0,0.0,0.0,-0.10093891787869995,0.43441603157012787,0.0,0.0,0.3818531048365902,1.1847917913086763,0.05051137300778364,1.8546354277487027,0.2826201181762042,0.0,-0.0004324759607973093,0.0,-0.44195743478575883,0.0,0.0,0.0,-0.16253949661627956,-0.03392621284470485,-0.2168749846396637,-4.4210069564894784e-05,0.0,-0.4010885395611365,0.0,0.0,-0.2489598245930855,-0.001274739213766112,0.0,0.0558015896215799,0.5591768574807643
thrombocytopenia due to platelet alloimmunization,0.09341208393707842,0.13209846440126063,0.0,0.18053474043560802,0.011255392708882983,0.40304404463860255,0.0,0.0,0.08293259828300864,0.0,-0.06256132489925569,0.16316431976033619,-0.35541954938806825,0.0,0.023814347000708003,0.001621243889182802,-0.5531790266756708,-0.20666842310260558,-1.1086332445468257,0.0,0.388664569988842,1.6282775425813774,0.0,0.7712125035513334,0.00035773922979684365,-0.326715749871361,0.0,0.0,0.0,0.241028756331704,0.0,0.0,0.0,0.4828436954830251,0.0,-0.21567527657524654,0.0,0.0,0.24962894534619912,0.0,-0.7584955013081937,0.0,0.00789557432674328,-1.193017981057447,0.0,0.0,-0.03475383018610417,-1.0083578374223665,0.0,0.001877555999124635,0.5517315027643415,0.0032733957705018044,-0.09229379792437979,0.10104683938688316,0.4270674828377948,0.1664262952846943,0.0,0.002226078399275192,0.0,0.12951739160173503,0.0
phen_tp_thrombocytopenia,0.0,0.0,0.0,-0.18555257003043588,0.0,0.0,0.0,0.0,0.0,0.2583897817347859,-0.2124642411336091,0.0,0.0,0.0,-1.8196658208647213e-06,-3.667781556889893e-05,-0.28340492360764724,0.27163053112524105,0.0,-0.31779000829405285,0.0,-0.20211019259781876,0.0,0.0,0.0,-0.07944035632469368,0.0,0.0,0.0,0.9379729125858701,0.0,0.0,0.27784875602210624,0.0,0.0,0.03444616758202913,0.8488568128332883,0.0,0.8158770297061955,0.27547175508985305,0.0,0.0,0.0,0.3360700842668333,0.0,0.0,0.0,-0.15031560412767767,0.0,-9.738023974577847e-07,0.0,0.0,-0.3906653081214981,0.0031883152631558185,0.0,0.0,-0.4012244533364327,-0.217243929624277,0.0,-0.637564389687186,0.0
phen_sig_tp_noFP_Sig_thrombocytopenia,-0.0191561284228789,-8.841777947817809e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32531547937251254,0.0,0.13543010758814633,0.0,0.0,-5.389504413466591e-06,-0.014796543878962043,0.9068387270671645,0.04644133771725429,0.5796369170636753,0.0,0.18947467180024907,0.0,-1.3278971262703183,-0.11326597023164309,-0.4544802332369983,-0.6815276699472748,0.0,0.0,0.0,0.0,0.0,0.0,-0.03078439210213815,1.4879182940829918,0.0,0.11394333961719391,0.4607202566935077,0.0,0.7821828444536382,0.5890222813350493,0.0,0.0,-0.00017501851586622995,0.0,0.0,0.0,0.0,0.0,-0.8136247185203341,-7.094325317321388e-05,0.0,-4.629976635114552e-06,0.0,0.0,0.0,0.0,-0.37300747697849057,-0.00012850787507150263,0.0,0.0,0.21789604637173257
myocardial infarction,0.32717000240983535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18476586029430003,0.6449059027496121,0.0,0.07372282969867505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030982547880722376,0.0,0.0,0.0,0.0,1.1700957956233442,0.0,0.0,0.0,0.0,0.0,0.0,0.0185342067359477,0.01091209409125833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0600767676957756,0.0,0.0,0.0,0.0,0.7463884312156018,-0.09090857423438785,0.0,0.0,0.0,0.0
old myocardial infarction,0.3105388185258766,0.0,0.0,-1.337109888718884,0.0,0.2823473587041209,0.0,0.0,0.3344589549881868,-0.5881284229330485,0.6293796534123245,0.8147241320511077,0.0,0.0,0.0,0.0,-0.28492030478554403,-0.28602325505488496,0.0,0.0,0.48312729006926497,0.8697300395667922,-1.6332071663675587,0.11418010058918317,0.0,-0.8590432199386625,0.0,0.0,0.0,-0.0023032501020441897,0.0,0.0,0.08851583246646601,0.5333106161900146,0.0,-0.06292442707457231,0.0,0.8698441083698581,0.34439359785922646,0.14668814841400346,0.0,-0.6825403356686883,0.0,-0.20016335734644064,0.0,0.0,0.0,-0.19163818409281774,0.0,0.0,0.3453163562567331,0.0,0.0,-1.1603730232739502,0.5032855292615566,0.18515801624291428,0.0,0.0,0.0,0.0,0.0
acute myocardial infarction,0.0,0.0,0.0,0.0,0.0,1.5001623818825673,0.0,0.0,0.0,-0.6336017341706098,0.0,0.3442308547132967,0.0,0.0,0.0,0.0,-0.5462531901910095,-0.2805169738838103,0.0,0.0,0.3432769631819541,0.0,0.0,-0.16636361341938732,0.0,0.0,0.0,0.0,0.0,-0.18403675953248488,0.0,0.0,0.0,0.22224946820464964,0.0,0.0,0.0,0.0,-0.17917031186785118,-0.23968586135063702,0.13478556626816818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.602334871347738,0.0,0.27281054131589744,-0.16439377312303768,0.0,0.0,0.0,0.0
phen_sig_tp_noFP_Sig_myocardial infarction,0.22894200466061493,0.0,0.0,-0.4103969612866256,0.0,0.7400420364606133,0.0,0.0,0.5876806903994481,0.0,0.0,0.4590241452442706,0.0,2.102558656071267,0.0,0.0,-0.7148117556639283,-1.1267942242859519,-0.7899887424742824,0.0,1.1648293403575016,0.0,-0.8193624837127474,0.0,0.0,-0.04147852547971189,0.0,0.0,0.0,0.0,0.0,0.0,-0.05528685919330209,0.5170756307235724,0.0,-0.5414851157190189,0.0,0.5177454400218989,0.10933258228125087,0.0,0.16872443159144132,-1.7943476548114752,0.0,-0.04902868453222193,0.0,0.0,0.0,0.0,0.24302044047904672,0.0,0.2641790558862949,0.0,-0.7406328984618816,-0.17063286274256134,0.0,0.17328915364558536,1.292775621948817,0.0,0.0,0.0,0.0
