Drug,Phenotype,Ranked Targets,Common Targets,Overall Percentage,New_DrugBank Total Targets,ChEMBL Total Targets,TTD Total Targets,PubChem Total Targets,New_DrugBank Identified Targets,ChEMBL Identified Targets,TTD Identified Targets,PubChem Identified Targets,New_DrugBank Percentage,ChEMBL Percentage,TTD Percentage,PubChem Percentage
bismuth subsalicylate,thrombocytopenia 6,13,1,7.69,2,2,1,2,1,0,0,1,50.0,0.0,0.0,50.0
bismuth subsalicylate,macrothrombocytopenia,4,1,25.0,2,2,1,2,1,0,0,1,50.0,0.0,0.0,50.0
bismuth subsalicylate,idiopathic thrombocytopenia,12,1,8.33,2,2,1,2,1,0,0,1,50.0,0.0,0.0,50.0
bismuth subsalicylate,thrombocytopenia due to platelet alloimmunization,25,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
bismuth subsalicylate,phen_tp_thrombocytopenia,10,2,20.0,2,2,1,2,1,1,0,1,50.0,50.0,0.0,50.0
bismuth subsalicylate,phen_sig_tp_noFP_Sig_thrombocytopenia,12,1,8.33,2,2,1,2,1,0,0,1,50.0,0.0,0.0,50.0
bismuth subsalicylate,myocardial infarction,10,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
bismuth subsalicylate,old myocardial infarction,16,1,6.25,2,2,1,2,1,0,0,1,50.0,0.0,0.0,50.0
bismuth subsalicylate,acute myocardial infarction,6,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
bismuth subsalicylate,phen_sig_tp_noFP_Sig_myocardial infarction,14,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
esmolol,hypertension,2,1,50.0,2,2,1,2,1,0,0,1,50.0,0.0,0.0,50.0
esmolol,prehypertension,11,2,18.18,2,2,1,2,2,1,1,2,100.0,50.0,100.0,100.0
esmolol,hypertensive disease,9,3,33.33,2,2,1,2,2,2,1,2,100.0,100.0,100.0,100.0
esmolol,genetic hypertension,6,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
esmolol,pulmonary hypertension,13,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
esmolol,essential hypertension,10,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
esmolol,"hypertension, renovascular",11,3,27.27,2,2,1,2,2,2,1,2,100.0,100.0,100.0,100.0
esmolol,idiopathic pulmonary hypertension,9,2,22.22,2,2,1,2,1,1,0,1,50.0,50.0,0.0,50.0
esmolol,renal hypertension,12,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
esmolol,ocular hypertension,9,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
esmolol,"hypertension, portal",2,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
esmolol,phen_tp_hypertension,12,1,8.33,2,2,1,2,1,0,0,1,50.0,0.0,0.0,50.0
esmolol,phen_sig_tp_noFP_Dis_hypertension,12,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
esmolol,phen_sig_tp_noFP_Sig_hypertension,14,3,21.43,2,2,1,2,2,2,1,2,100.0,100.0,100.0,100.0
esmolol,pancreatitis,7,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
esmolol,acute pancreatitis,12,1,8.33,2,2,1,2,1,1,1,1,50.0,50.0,100.0,50.0
esmolol,pancreatitis idiopathic,4,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
esmolol,adenocarcinoma of pancreas,13,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
esmolol,phen_tp_pancreatitis,12,1,8.33,2,2,1,2,1,0,0,1,50.0,0.0,0.0,50.0
esmolol,phen_sig_tp_noFP_Dis_pancreatitis,9,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
esmolol,phen_sig_tp_noFP_Sig_pancreatitis,16,3,18.75,2,2,1,2,2,2,1,2,100.0,100.0,100.0,100.0
esmolol,thrombocytopenia 5,2,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
esmolol,thrombocytopenia 6,13,2,15.38,2,2,1,2,2,1,1,2,100.0,50.0,100.0,100.0
esmolol,macrothrombocytopenia,4,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
esmolol,idiopathic thrombocytopenia,12,1,8.33,2,2,1,2,0,1,0,0,0.0,50.0,0.0,0.0
esmolol,thrombocytopenia due to platelet alloimmunization,25,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
esmolol,phen_tp_thrombocytopenia,10,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
esmolol,phen_sig_tp_noFP_Sig_thrombocytopenia,12,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
esmolol,myocardial infarction,10,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
esmolol,old myocardial infarction,16,1,6.25,2,2,1,2,0,1,0,0,0.0,50.0,0.0,0.0
esmolol,acute myocardial infarction,6,0,0.0,2,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0
esmolol,phen_sig_tp_noFP_Sig_myocardial infarction,14,2,14.29,2,2,1,2,2,1,1,2,100.0,50.0,100.0,100.0
indomethacin,hypertension,2,0,0.0,28,2,1,1,0,0,0,0,0.0,0.0,0.0,0.0
indomethacin,prehypertension,11,2,18.18,28,2,1,1,2,0,0,0,7.14,0.0,0.0,0.0
indomethacin,hypertensive disease,9,2,22.22,28,2,1,1,1,0,0,0,3.57,0.0,0.0,0.0
indomethacin,genetic hypertension,6,2,33.33,28,2,1,1,1,0,0,0,3.57,0.0,0.0,0.0
indomethacin,pulmonary hypertension,13,3,23.08,28,2,1,1,3,1,0,0,10.71,50.0,0.0,0.0
indomethacin,essential hypertension,10,3,30.0,28,2,1,1,2,0,0,0,7.14,0.0,0.0,0.0
indomethacin,"hypertension, renovascular",11,2,18.18,28,2,1,1,1,0,0,0,3.57,0.0,0.0,0.0
indomethacin,idiopathic pulmonary hypertension,9,2,22.22,28,2,1,1,1,0,0,0,3.57,0.0,0.0,0.0
indomethacin,renal hypertension,12,1,8.33,28,2,1,1,1,0,0,0,3.57,0.0,0.0,0.0
indomethacin,ocular hypertension,9,2,22.22,28,2,1,1,1,1,0,0,3.57,50.0,0.0,0.0
indomethacin,"hypertension, portal",2,2,100.0,28,2,1,1,2,0,0,0,7.14,0.0,0.0,0.0
