Drug,Phenotype,Ranked Targets,Common Targets,Overall Percentage,New_DrugBank Total Targets,ChEMBL Total Targets,STITCH Total Targets,TTD Total Targets,New_DrugBank Identified Targets,ChEMBL Identified Targets,STITCH Identified Targets,TTD Identified Targets,New_DrugBank Percentage,ChEMBL Percentage,STITCH Percentage,TTD Percentage
bismuth subsalicylate,genetic hypertension,8,2,25.0,2.0,2.0,,,1.0,1.0,,,50.0,50.0,,
bismuth subsalicylate,pulmonary hypertension,22,3,13.64,2.0,2.0,,,1.0,2.0,,,50.0,100.0,,
bismuth subsalicylate,essential hypertension,7,2,28.57,2.0,2.0,,,1.0,1.0,,,50.0,50.0,,
bismuth subsalicylate,"hypertension, renovascular",14,2,14.29,2.0,2.0,,,1.0,1.0,,,50.0,50.0,,
bismuth subsalicylate,idiopathic pulmonary hypertension,11,1,9.09,2.0,2.0,,,0.0,1.0,,,0.0,50.0,,
bismuth subsalicylate,renal hypertension,3,1,33.33,2.0,2.0,,,0.0,1.0,,,0.0,50.0,,
bismuth subsalicylate,ocular hypertension,19,2,10.53,2.0,2.0,,,1.0,1.0,,,50.0,50.0,,
bismuth subsalicylate,"hypertension, portal",0,0,0.0,2.0,2.0,,,0.0,0.0,,,0.0,0.0,,
bismuth subsalicylate,phen_tp_hypertension,6,0,0.0,2.0,2.0,,,0.0,0.0,,,0.0,0.0,,
bismuth subsalicylate,phen_sig_tp_noFP_Dis_hypertension,5,0,0.0,2.0,2.0,,,0.0,0.0,,,0.0,0.0,,
bismuth subsalicylate,phen_sig_tp_noFP_Sig_hypertension,19,1,5.26,2.0,2.0,,,1.0,0.0,,,50.0,0.0,,
bismuth subsalicylate,pancreatitis,10,2,20.0,2.0,2.0,,,1.0,1.0,,,50.0,50.0,,
bismuth subsalicylate,acute pancreatitis,17,2,11.76,2.0,2.0,,,1.0,1.0,,,50.0,50.0,,
bismuth subsalicylate,pancreatitis idiopathic,10,1,10.0,2.0,2.0,,,1.0,0.0,,,50.0,0.0,,
