Drug,Phenotype,Ranked Targets,Common Targets,Overall Percentage,New_DrugBank Total Targets,ChEMBL Total Targets,STITCH Total Targets,TTD Total Targets,New_DrugBank Identified Targets,ChEMBL Identified Targets,STITCH Identified Targets,TTD Identified Targets,New_DrugBank Percentage,ChEMBL Percentage,STITCH Percentage,TTD Percentage
valsartan,thrombocytopenia 6,17,2,11.76,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,20.0,0.0,100.0,0.0
valsartan,macrothrombocytopenia,5,2,40.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,20.0,0.0,100.0,0.0
valsartan,idiopathic thrombocytopenia,15,3,20.0,5.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,40.0,0.0,100.0,0.0
valsartan,thrombocytopenia due to platelet alloimmunization,15,1,6.67,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0
valsartan,phen_tp_thrombocytopenia,12,0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
valsartan,phen_sig_tp_noFP_Sig_thrombocytopenia,14,1,7.14,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0
valsartan,myocardial infarction,5,0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
valsartan,old myocardial infarction,15,0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
valsartan,acute myocardial infarction,6,4,66.67,5.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,60.0,0.0,100.0,0.0
valsartan,phen_sig_tp_noFP_Sig_myocardial infarction,17,1,5.88,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0
norgestimate,hypertension,8,1,12.5,11.0,1.0,,1.0,1.0,0.0,,0.0,9.09,0.0,,0.0
norgestimate,prehypertension,17,4,23.53,11.0,1.0,,1.0,3.0,0.0,,0.0,27.27,0.0,,0.0
norgestimate,hypertensive disease,15,4,26.67,11.0,1.0,,1.0,3.0,0.0,,0.0,27.27,0.0,,0.0
norgestimate,genetic hypertension,8,1,12.5,11.0,1.0,,1.0,1.0,0.0,,0.0,9.09,0.0,,0.0
norgestimate,pulmonary hypertension,22,5,22.73,11.0,1.0,,1.0,4.0,0.0,,0.0,36.36,0.0,,0.0
norgestimate,essential hypertension,7,3,42.86,11.0,1.0,,1.0,2.0,0.0,,0.0,18.18,0.0,,0.0
norgestimate,"hypertension, renovascular",14,3,21.43,11.0,1.0,,1.0,3.0,0.0,,0.0,27.27,0.0,,0.0
norgestimate,idiopathic pulmonary hypertension,11,1,9.09,11.0,1.0,,1.0,1.0,0.0,,0.0,9.09,0.0,,0.0
norgestimate,renal hypertension,3,1,33.33,11.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
norgestimate,ocular hypertension,19,6,31.58,11.0,1.0,,1.0,6.0,0.0,,0.0,54.55,0.0,,0.0
norgestimate,"hypertension, portal",0,0,0.0,11.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
norgestimate,phen_tp_hypertension,6,3,50.0,11.0,1.0,,1.0,2.0,0.0,,0.0,18.18,0.0,,0.0
norgestimate,phen_sig_tp_noFP_Dis_hypertension,5,3,60.0,11.0,1.0,,1.0,2.0,0.0,,0.0,18.18,0.0,,0.0
norgestimate,phen_sig_tp_noFP_Sig_hypertension,19,6,31.58,11.0,1.0,,1.0,4.0,0.0,,0.0,36.36,0.0,,0.0
norgestimate,pancreatitis,10,3,30.0,11.0,1.0,,1.0,3.0,0.0,,0.0,27.27,0.0,,0.0
norgestimate,acute pancreatitis,17,3,17.65,11.0,1.0,,1.0,2.0,0.0,,0.0,18.18,0.0,,0.0
norgestimate,pancreatitis idiopathic,10,5,50.0,11.0,1.0,,1.0,4.0,0.0,,0.0,36.36,0.0,,0.0
norgestimate,adenocarcinoma of pancreas,3,1,33.33,11.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
norgestimate,phen_tp_pancreatitis,4,3,75.0,11.0,1.0,,1.0,2.0,0.0,,0.0,18.18,0.0,,0.0
norgestimate,phen_sig_tp_noFP_Dis_pancreatitis,4,3,75.0,11.0,1.0,,1.0,2.0,0.0,,0.0,18.18,0.0,,0.0
norgestimate,phen_sig_tp_noFP_Sig_pancreatitis,17,3,17.65,11.0,1.0,,1.0,3.0,0.0,,0.0,27.27,0.0,,0.0
norgestimate,thrombocytopenia 5,8,5,62.5,11.0,1.0,,1.0,3.0,0.0,,0.0,27.27,0.0,,0.0
norgestimate,thrombocytopenia 6,17,3,17.65,11.0,1.0,,1.0,2.0,0.0,,0.0,18.18,0.0,,0.0
norgestimate,macrothrombocytopenia,5,2,40.0,11.0,1.0,,1.0,1.0,0.0,,0.0,9.09,0.0,,0.0
norgestimate,idiopathic thrombocytopenia,15,4,26.67,11.0,1.0,,1.0,4.0,0.0,,0.0,36.36,0.0,,0.0
norgestimate,thrombocytopenia due to platelet alloimmunization,15,1,6.67,11.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
norgestimate,phen_tp_thrombocytopenia,12,2,16.67,11.0,1.0,,1.0,1.0,0.0,,0.0,9.09,0.0,,0.0
norgestimate,phen_sig_tp_noFP_Sig_thrombocytopenia,14,5,35.71,11.0,1.0,,1.0,4.0,0.0,,0.0,36.36,0.0,,0.0
norgestimate,myocardial infarction,5,2,40.0,11.0,1.0,,1.0,1.0,0.0,,0.0,9.09,0.0,,0.0
norgestimate,old myocardial infarction,15,5,33.33,11.0,1.0,,1.0,5.0,0.0,,0.0,45.45,0.0,,0.0
norgestimate,acute myocardial infarction,6,2,33.33,11.0,1.0,,1.0,2.0,0.0,,0.0,18.18,0.0,,0.0
norgestimate,phen_sig_tp_noFP_Sig_myocardial infarction,17,3,17.65,11.0,1.0,,1.0,2.0,0.0,,0.0,18.18,0.0,,0.0
allopurinol,hypertension,8,0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allopurinol,prehypertension,17,1,5.88,5.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
allopurinol,hypertensive disease,15,0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allopurinol,genetic hypertension,8,0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allopurinol,pulmonary hypertension,22,0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allopurinol,essential hypertension,7,2,28.57,5.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
allopurinol,"hypertension, renovascular",14,0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allopurinol,idiopathic pulmonary hypertension,11,1,9.09,5.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
allopurinol,renal hypertension,3,0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allopurinol,ocular hypertension,19,1,5.26,5.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
allopurinol,"hypertension, portal",0,0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allopurinol,phen_tp_hypertension,6,1,16.67,5.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
allopurinol,phen_sig_tp_noFP_Dis_hypertension,5,1,20.0,5.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
allopurinol,phen_sig_tp_noFP_Sig_hypertension,19,0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allopurinol,pancreatitis,10,0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allopurinol,acute pancreatitis,17,1,5.88,5.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
allopurinol,pancreatitis idiopathic,10,0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allopurinol,adenocarcinoma of pancreas,3,0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allopurinol,phen_tp_pancreatitis,4,0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allopurinol,phen_sig_tp_noFP_Dis_pancreatitis,4,0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allopurinol,phen_sig_tp_noFP_Sig_pancreatitis,17,2,11.76,5.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
allopurinol,thrombocytopenia 5,8,0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allopurinol,thrombocytopenia 6,17,1,5.88,5.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
allopurinol,macrothrombocytopenia,5,0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allopurinol,idiopathic thrombocytopenia,15,0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allopurinol,thrombocytopenia due to platelet alloimmunization,15,0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allopurinol,phen_tp_thrombocytopenia,12,2,16.67,5.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
allopurinol,phen_sig_tp_noFP_Sig_thrombocytopenia,14,1,7.14,5.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
allopurinol,myocardial infarction,5,1,20.0,5.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
allopurinol,old myocardial infarction,15,1,6.67,5.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
allopurinol,acute myocardial infarction,6,0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allopurinol,phen_sig_tp_noFP_Sig_myocardial infarction,17,1,5.88,5.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
eliglustat,hypertension,8,1,12.5,4.0,1.0,,,1.0,0.0,,,25.0,0.0,,
eliglustat,prehypertension,17,1,5.88,4.0,1.0,,,1.0,0.0,,,25.0,0.0,,
eliglustat,hypertensive disease,15,1,6.67,4.0,1.0,,,1.0,0.0,,,25.0,0.0,,
eliglustat,genetic hypertension,8,0,0.0,4.0,1.0,,,0.0,0.0,,,0.0,0.0,,
eliglustat,pulmonary hypertension,22,1,4.55,4.0,1.0,,,1.0,0.0,,,25.0,0.0,,
eliglustat,essential hypertension,7,1,14.29,4.0,1.0,,,1.0,0.0,,,25.0,0.0,,
eliglustat,"hypertension, renovascular",14,1,7.14,4.0,1.0,,,1.0,0.0,,,25.0,0.0,,
eliglustat,idiopathic pulmonary hypertension,11,1,9.09,4.0,1.0,,,1.0,0.0,,,25.0,0.0,,
eliglustat,renal hypertension,3,0,0.0,4.0,1.0,,,0.0,0.0,,,0.0,0.0,,
eliglustat,ocular hypertension,19,3,15.79,4.0,1.0,,,3.0,0.0,,,75.0,0.0,,
eliglustat,"hypertension, portal",0,0,0.0,4.0,1.0,,,0.0,0.0,,,0.0,0.0,,
eliglustat,phen_tp_hypertension,6,2,33.33,4.0,1.0,,,2.0,0.0,,,50.0,0.0,,
eliglustat,phen_sig_tp_noFP_Dis_hypertension,5,1,20.0,4.0,1.0,,,1.0,0.0,,,25.0,0.0,,
eliglustat,phen_sig_tp_noFP_Sig_hypertension,19,1,5.26,4.0,1.0,,,1.0,0.0,,,25.0,0.0,,
eliglustat,pancreatitis,10,1,10.0,4.0,1.0,,,1.0,0.0,,,25.0,0.0,,
eliglustat,acute pancreatitis,17,0,0.0,4.0,1.0,,,0.0,0.0,,,0.0,0.0,,
eliglustat,pancreatitis idiopathic,10,1,10.0,4.0,1.0,,,1.0,0.0,,,25.0,0.0,,
eliglustat,adenocarcinoma of pancreas,3,0,0.0,4.0,1.0,,,0.0,0.0,,,0.0,0.0,,
eliglustat,phen_tp_pancreatitis,4,1,25.0,4.0,1.0,,,1.0,0.0,,,25.0,0.0,,
eliglustat,phen_sig_tp_noFP_Dis_pancreatitis,4,1,25.0,4.0,1.0,,,1.0,0.0,,,25.0,0.0,,
eliglustat,phen_sig_tp_noFP_Sig_pancreatitis,17,1,5.88,4.0,1.0,,,1.0,0.0,,,25.0,0.0,,
eliglustat,thrombocytopenia 5,8,0,0.0,4.0,1.0,,,0.0,0.0,,,0.0,0.0,,
eliglustat,thrombocytopenia 6,17,1,5.88,4.0,1.0,,,1.0,0.0,,,25.0,0.0,,
eliglustat,macrothrombocytopenia,5,0,0.0,4.0,1.0,,,0.0,0.0,,,0.0,0.0,,
eliglustat,idiopathic thrombocytopenia,15,2,13.33,4.0,1.0,,,2.0,0.0,,,50.0,0.0,,
eliglustat,thrombocytopenia due to platelet alloimmunization,15,0,0.0,4.0,1.0,,,0.0,0.0,,,0.0,0.0,,
eliglustat,phen_tp_thrombocytopenia,12,2,16.67,4.0,1.0,,,2.0,0.0,,,50.0,0.0,,
eliglustat,phen_sig_tp_noFP_Sig_thrombocytopenia,14,1,7.14,4.0,1.0,,,1.0,0.0,,,25.0,0.0,,
eliglustat,myocardial infarction,5,0,0.0,4.0,1.0,,,0.0,0.0,,,0.0,0.0,,
eliglustat,old myocardial infarction,15,3,20.0,4.0,1.0,,,3.0,0.0,,,75.0,0.0,,
eliglustat,acute myocardial infarction,6,0,0.0,4.0,1.0,,,0.0,0.0,,,0.0,0.0,,
eliglustat,phen_sig_tp_noFP_Sig_myocardial infarction,17,1,5.88,4.0,1.0,,,1.0,0.0,,,25.0,0.0,,
ethotoin,hypertension,8,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,prehypertension,17,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,hypertensive disease,15,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,genetic hypertension,8,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,pulmonary hypertension,22,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,essential hypertension,7,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,"hypertension, renovascular",14,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,idiopathic pulmonary hypertension,11,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,renal hypertension,3,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,ocular hypertension,19,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,"hypertension, portal",0,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,phen_tp_hypertension,6,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,phen_sig_tp_noFP_Dis_hypertension,5,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,phen_sig_tp_noFP_Sig_hypertension,19,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,pancreatitis,10,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,acute pancreatitis,17,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,pancreatitis idiopathic,10,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,adenocarcinoma of pancreas,3,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,phen_tp_pancreatitis,4,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,phen_sig_tp_noFP_Dis_pancreatitis,4,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,phen_sig_tp_noFP_Sig_pancreatitis,17,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,thrombocytopenia 5,8,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,thrombocytopenia 6,17,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,macrothrombocytopenia,5,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,idiopathic thrombocytopenia,15,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,thrombocytopenia due to platelet alloimmunization,15,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,phen_tp_thrombocytopenia,12,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,phen_sig_tp_noFP_Sig_thrombocytopenia,14,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,myocardial infarction,5,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,old myocardial infarction,15,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,acute myocardial infarction,6,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ethotoin,phen_sig_tp_noFP_Sig_myocardial infarction,17,0,0.0,3.0,10.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
daclatasvir,hypertension,8,1,12.5,8.0,1.0,,1.0,1.0,0.0,,0.0,12.5,0.0,,0.0
daclatasvir,prehypertension,17,0,0.0,8.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
daclatasvir,hypertensive disease,15,1,6.67,8.0,1.0,,1.0,1.0,0.0,,0.0,12.5,0.0,,0.0
daclatasvir,genetic hypertension,8,1,12.5,8.0,1.0,,1.0,1.0,0.0,,0.0,12.5,0.0,,0.0
daclatasvir,pulmonary hypertension,22,2,9.09,8.0,1.0,,1.0,2.0,0.0,,0.0,25.0,0.0,,0.0
daclatasvir,essential hypertension,7,2,28.57,8.0,1.0,,1.0,2.0,0.0,,0.0,25.0,0.0,,0.0
daclatasvir,"hypertension, renovascular",14,0,0.0,8.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
daclatasvir,idiopathic pulmonary hypertension,11,1,9.09,8.0,1.0,,1.0,1.0,0.0,,0.0,12.5,0.0,,0.0
daclatasvir,renal hypertension,3,1,33.33,8.0,1.0,,1.0,1.0,0.0,,0.0,12.5,0.0,,0.0
daclatasvir,ocular hypertension,19,3,15.79,8.0,1.0,,1.0,3.0,0.0,,0.0,37.5,0.0,,0.0
daclatasvir,"hypertension, portal",0,0,0.0,8.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
daclatasvir,phen_tp_hypertension,6,2,33.33,8.0,1.0,,1.0,2.0,0.0,,0.0,25.0,0.0,,0.0
daclatasvir,phen_sig_tp_noFP_Dis_hypertension,5,2,40.0,8.0,1.0,,1.0,2.0,0.0,,0.0,25.0,0.0,,0.0
daclatasvir,phen_sig_tp_noFP_Sig_hypertension,19,0,0.0,8.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
daclatasvir,pancreatitis,10,1,10.0,8.0,1.0,,1.0,1.0,0.0,,0.0,12.5,0.0,,0.0
daclatasvir,acute pancreatitis,17,2,11.76,8.0,1.0,,1.0,2.0,0.0,,0.0,25.0,0.0,,0.0
daclatasvir,pancreatitis idiopathic,10,1,10.0,8.0,1.0,,1.0,1.0,0.0,,0.0,12.5,0.0,,0.0
daclatasvir,adenocarcinoma of pancreas,3,1,33.33,8.0,1.0,,1.0,1.0,0.0,,0.0,12.5,0.0,,0.0
daclatasvir,phen_tp_pancreatitis,4,1,25.0,8.0,1.0,,1.0,1.0,0.0,,0.0,12.5,0.0,,0.0
daclatasvir,phen_sig_tp_noFP_Dis_pancreatitis,4,1,25.0,8.0,1.0,,1.0,1.0,0.0,,0.0,12.5,0.0,,0.0
daclatasvir,phen_sig_tp_noFP_Sig_pancreatitis,17,1,5.88,8.0,1.0,,1.0,1.0,0.0,,0.0,12.5,0.0,,0.0
daclatasvir,thrombocytopenia 5,8,1,12.5,8.0,1.0,,1.0,1.0,0.0,,0.0,12.5,0.0,,0.0
daclatasvir,thrombocytopenia 6,17,1,5.88,8.0,1.0,,1.0,1.0,0.0,,0.0,12.5,0.0,,0.0
daclatasvir,macrothrombocytopenia,5,0,0.0,8.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
daclatasvir,idiopathic thrombocytopenia,15,3,20.0,8.0,1.0,,1.0,3.0,0.0,,0.0,37.5,0.0,,0.0
daclatasvir,thrombocytopenia due to platelet alloimmunization,15,0,0.0,8.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
daclatasvir,phen_tp_thrombocytopenia,12,2,16.67,8.0,1.0,,1.0,2.0,0.0,,0.0,25.0,0.0,,0.0
daclatasvir,phen_sig_tp_noFP_Sig_thrombocytopenia,14,2,14.29,8.0,1.0,,1.0,2.0,0.0,,0.0,25.0,0.0,,0.0
daclatasvir,myocardial infarction,5,1,20.0,8.0,1.0,,1.0,1.0,0.0,,0.0,12.5,0.0,,0.0
daclatasvir,old myocardial infarction,15,4,26.67,8.0,1.0,,1.0,4.0,0.0,,0.0,50.0,0.0,,0.0
daclatasvir,acute myocardial infarction,6,1,16.67,8.0,1.0,,1.0,1.0,0.0,,0.0,12.5,0.0,,0.0
daclatasvir,phen_sig_tp_noFP_Sig_myocardial infarction,17,2,11.76,8.0,1.0,,1.0,2.0,0.0,,0.0,25.0,0.0,,0.0
tesamorelin,hypertension,8,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,prehypertension,17,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,hypertensive disease,15,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,genetic hypertension,8,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,pulmonary hypertension,22,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,essential hypertension,7,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,"hypertension, renovascular",14,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,idiopathic pulmonary hypertension,11,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,renal hypertension,3,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,ocular hypertension,19,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,"hypertension, portal",0,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,phen_tp_hypertension,6,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,phen_sig_tp_noFP_Dis_hypertension,5,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,phen_sig_tp_noFP_Sig_hypertension,19,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,pancreatitis,10,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,acute pancreatitis,17,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,pancreatitis idiopathic,10,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,adenocarcinoma of pancreas,3,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,phen_tp_pancreatitis,4,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,phen_sig_tp_noFP_Dis_pancreatitis,4,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,phen_sig_tp_noFP_Sig_pancreatitis,17,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,thrombocytopenia 5,8,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,thrombocytopenia 6,17,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,macrothrombocytopenia,5,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,idiopathic thrombocytopenia,15,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,thrombocytopenia due to platelet alloimmunization,15,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,phen_tp_thrombocytopenia,12,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,phen_sig_tp_noFP_Sig_thrombocytopenia,14,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,myocardial infarction,5,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,old myocardial infarction,15,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,acute myocardial infarction,6,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tesamorelin,phen_sig_tp_noFP_Sig_myocardial infarction,17,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
ivermectin,hypertension,8,1,12.5,9.0,1.0,,1.0,1.0,0.0,,0.0,11.11,0.0,,0.0
ivermectin,prehypertension,17,1,5.88,9.0,1.0,,1.0,1.0,0.0,,0.0,11.11,0.0,,0.0
ivermectin,hypertensive disease,15,3,20.0,9.0,1.0,,1.0,3.0,0.0,,0.0,33.33,0.0,,0.0
ivermectin,genetic hypertension,8,1,12.5,9.0,1.0,,1.0,1.0,0.0,,0.0,11.11,0.0,,0.0
ivermectin,pulmonary hypertension,22,2,9.09,9.0,1.0,,1.0,2.0,0.0,,0.0,22.22,0.0,,0.0
ivermectin,essential hypertension,7,2,28.57,9.0,1.0,,1.0,2.0,0.0,,0.0,22.22,0.0,,0.0
